tanggal,nama_produk,harga,jumlah
2026-05-11,Oreo,13977,12
2026-05-08,Oreo,17248,21
2026-05-08,Keripik Pisang,15735,25
2026-05-08,Bolu Kukus,15973,25
2026-05-11,Bolu Kukus,17688,24
2026-05-11,Kopi Bubuk,18941,16
2026-05-12,Bolu Kukus,18607,28
2026-05-13,Oreo,19942,18
2026-05-09,Oreo,17393,20
2026-05-13,Kopi Bubuk,15331,17
2026-05-12,Bolu Kukus,15378,10
2026-05-13,Kopi Bubuk,15718,18
2026-05-09,Oreo,12054,26
2026-05-11,Keripik Pisang,14755,28
2026-05-09,Oreo,12839,14
2026-05-10,Bolu Kukus,15523,23
2026-05-08,Keripik Pisang,17357,28
2026-05-09,Oreo,13458,28
2026-05-09,Oreo,20902,16
2026-05-07,Kopi Bubuk,18883,13
2026-05-12,Kopi Bubuk,20864,17
2026-05-10,Oreo,12408,10
2026-05-13,Keripik Pisang,12970,27
2026-05-07,Keripik Pisang,20697,25
2026-05-13,Kopi Bubuk,14441,11
2026-05-10,Oreo,15966,26
2026-05-10,Keripik Pisang,13773,13
2026-05-13,Oreo,16757,22
2026-05-11,Bolu Kukus,17129,27
2026-05-09,Oreo,16446,23
2026-05-12,Keripik Pisang,17732,22
2026-05-12,Kopi Bubuk,18458,29
2026-05-08,Oreo,17249,22
2026-05-11,Oreo,13694,14
2026-05-07,Oreo,15909,30
2026-05-12,Bolu Kukus,16912,20
2026-05-09,Keripik Pisang,15740,29
2026-05-13,Oreo,13194,16
2026-05-10,Bolu Kukus,17154,16
2026-05-10,Kopi Bubuk,19513,24
2026-05-13,Keripik Pisang,20452,14
2026-05-13,Kopi Bubuk,13348,12
2026-05-11,Keripik Pisang,11515,24
2026-05-13,Kopi Bubuk,14022,30
2026-05-13,Oreo,12159,15
2026-05-10,Oreo,18417,14
2026-05-08,Oreo,14593,18
2026-05-09,Kopi Bubuk,12885,16
2026-05-07,Keripik Pisang,15772,12
2026-05-13,Bolu Kukus,12151,29
2026-05-08,Kopi Bubuk,14529,18
2026-05-11,Keripik Pisang,13011,16
2026-05-12,Oreo,14737,21
2026-05-11,Bolu Kukus,16559,30
2026-05-13,Kopi Bubuk,16148,26
2026-05-13,Kopi Bubuk,12056,20
2026-05-07,Bolu Kukus,14187,27
2026-05-10,Kopi Bubuk,16084,13
2026-05-11,Keripik Pisang,18275,10
2026-05-12,Kopi Bubuk,12427,21
2026-05-07,Keripik Pisang,11654,24
2026-05-12,Keripik Pisang,16405,17
2026-05-07,Keripik Pisang,18285,30
2026-05-13,Oreo,17266,20
2026-05-10,Keripik Pisang,15462,22
2026-05-07,Kopi Bubuk,15606,19
2026-05-08,Kopi Bubuk,16292,25
2026-05-13,Oreo,17834,26
2026-05-10,Keripik Pisang,16047,10
2026-05-11,Oreo,14474,17
2026-05-12,Bolu Kukus,15929,29
2026-05-10,Oreo,18282,12
2026-05-08,Keripik Pisang,18354,16
2026-05-11,Keripik Pisang,12760,10
2026-05-12,Bolu Kukus,16063,23
2026-05-09,Oreo,12381,17
2026-05-07,Keripik Pisang,14875,10
2026-05-09,Keripik Pisang,12235,13
2026-05-09,Bolu Kukus,18160,22
2026-05-08,Keripik Pisang,13149,11
2026-05-13,Keripik Pisang,13330,20
2026-05-13,Bolu Kukus,12439,10
2026-05-11,Keripik Pisang,13901,15
2026-05-10,Kopi Bubuk,14894,27
2026-05-09,Bolu Kukus,14501,27
2026-05-11,Kopi Bubuk,17992,30
2026-05-13,Bolu Kukus,14336,17
2026-05-12,Bolu Kukus,18716,19
2026-05-09,Keripik Pisang,19985,27
2026-05-13,Bolu Kukus,11691,26
2026-05-10,Keripik Pisang,12042,18
2026-05-10,Kopi Bubuk,20452,23
2026-05-07,Keripik Pisang,17428,19
2026-05-08,Oreo,12023,11
2026-05-10,Oreo,16143,25
2026-05-09,Kopi Bubuk,17305,21
2026-05-11,Keripik Pisang,15935,19
2026-05-07,Bolu Kukus,19946,16
2026-05-08,Bolu Kukus,15164,15
2026-05-09,Keripik Pisang,11621,30
2026-05-13,Bolu Kukus,13348,28
2026-05-11,Kopi Bubuk,16776,17
2026-05-10,Keripik Pisang,17738,22
2026-05-09,Oreo,19486,26
2026-05-10,Oreo,14189,14
2026-05-11,Keripik Pisang,19008,15
2026-05-08,Oreo,14841,13
2026-05-09,Keripik Pisang,12904,23
2026-05-08,Bolu Kukus,18049,15
2026-05-07,Keripik Pisang,16784,12
2026-05-11,Kopi Bubuk,16641,11
2026-05-10,Oreo,17770,17
2026-05-10,Bolu Kukus,16473,15
2026-05-12,Oreo,18874,27
2026-05-07,Bolu Kukus,14435,10
2026-05-07,Keripik Pisang,11729,20
2026-05-11,Kopi Bubuk,19799,28
