tanggal,id_produk,nama_produk,kategori_produk,harga_satuan,stok_awal,stok_akhir,jumlah_terjual,total_penjualan,diskon_persen,promo_aktif,biaya_promosi,kanal_penjualan,hari_dalam_minggu,akhir_pekan,bulan,musim_ramadan_lebaran,cuaca,jumlah_pengunjung,rating_produk
2024-01-01,P001,Paket nasi lauk,makanan_minuman,17000,31,12,19,323000,0,0,0,online,Monday,0,1,0,hujan_ringan,70,4.6
2024-01-01,P002,Minuman kopi susu,makanan_minuman,15500,47,23,24,372000,0,0,0,online,Monday,0,1,0,hujan_ringan,70,4.3
2024-01-01,P003,Snack kemasan lokal,makanan_minuman,9000,46,7,39,351000,0,0,0,online,Monday,0,1,0,hujan_ringan,70,4.3
2024-01-01,P004,Kaos basic,fashion,70000,15,6,9,598500,5,1,31500,online,Monday,0,1,0,hujan_ringan,70,4.4
2024-01-01,P005,Hijab polos,fashion,41000,17,2,15,615000,0,0,0,offline,Monday,0,1,0,hujan_ringan,70,4.6
2024-01-01,P006,Sandal harian,fashion,55000,13,10,3,165000,0,0,0,campuran,Monday,0,1,0,hujan_ringan,70,4.1
2024-01-01,P007,Sabun cuci literan,kebutuhan_rumah,17000,28,7,21,357000,0,0,0,online,Monday,0,1,0,hujan_ringan,70,4.4
2024-01-01,P008,Beras 5 kg,kebutuhan_rumah,68000,16,4,12,816000,0,0,0,online,Monday,0,1,0,hujan_ringan,70,4.7
2024-01-01,P009,Minyak goreng 1 liter,kebutuhan_rumah,18500,41,19,22,407000,0,0,0,offline,Monday,0,1,0,hujan_ringan,70,4.2
2024-01-01,P010,Aksesori ponsel,aksesoris,25500,30,5,25,605600,5,1,31900,offline,Monday,0,1,0,hujan_ringan,70,4.0
2024-01-01,P011,Buket mini,kerajinan,44500,9,2,7,311500,0,0,0,offline,Monday,0,1,0,hujan_ringan,70,4.6
2024-01-01,P012,Paket hampers,kerajinan,90000,6,0,6,540000,0,0,0,offline,Monday,0,1,0,hujan_ringan,70,4.5
2024-01-02,P001,Paket nasi lauk,makanan_minuman,17500,33,1,32,560000,0,0,0,online,Tuesday,0,1,0,berawan,70,4.5
2024-01-02,P002,Minuman kopi susu,makanan_minuman,15000,41,11,30,450000,0,0,0,online,Tuesday,0,1,0,berawan,70,4.6
2024-01-02,P003,Snack kemasan lokal,makanan_minuman,9500,50,8,42,399000,0,0,0,offline,Tuesday,0,1,0,berawan,70,4.3
2024-01-02,P004,Kaos basic,fashion,65500,23,10,13,681200,20,1,170300,online,Tuesday,0,1,0,berawan,70,4.4
2024-01-02,P005,Hijab polos,fashion,42500,17,4,13,552500,0,0,0,online,Tuesday,0,1,0,berawan,70,4.5
2024-01-02,P006,Sandal harian,fashion,54500,12,3,9,490500,0,0,0,campuran,Tuesday,0,1,0,berawan,70,4.0
2024-01-02,P007,Sabun cuci literan,kebutuhan_rumah,17500,34,0,34,595000,0,0,0,campuran,Tuesday,0,1,0,berawan,70,4.2
2024-01-02,P008,Beras 5 kg,kebutuhan_rumah,73000,20,0,20,1460000,0,0,0,campuran,Tuesday,0,1,0,berawan,70,4.6
2024-01-02,P009,Minyak goreng 1 liter,kebutuhan_rumah,20000,38,12,26,520000,0,0,0,online,Tuesday,0,1,0,berawan,70,4.5
2024-01-02,P010,Aksesori ponsel,aksesoris,24000,21,9,12,288000,0,0,0,offline,Tuesday,0,1,0,berawan,70,4.0
2024-01-02,P011,Buket mini,kerajinan,43500,9,5,4,174000,0,0,0,online,Tuesday,0,1,0,berawan,70,4.9
